health science,creative expression,technology,people,organization,influence,nature,things
5,4.035714286,3.9375,3.65,1.5,3.59375,4.416666667,2.541666667
4.416666667,2,1.875,2,1.9,1.65625,1.25,2.041666667
2.75,2.785714286,3.125,2.7,2.95,3.125,2.25,2.625
3,2.714285714,2.0625,3.8,2.7,2.03125,2.666666667,2.291666667
1.833333333,2.142857143,1.25,1.9,2.2,1.375,2.25,1.208333333
2.75,2.678571429,1,3.45,3.2,2.5625,4.583333333,1.583333333
4.583333333,3.035714286,2.5625,3.3,4.2,3.65625,2.583333333,2.916666667
3.166666667,3.75,1.875,3.35,2.9,2.9375,3.333333333,1.666666667
4.833333333,3.357142857,2.3125,2.85,3.7,3.25,4.916666667,3
3.583333333,2.5,3.0625,3.3,2.85,2.625,2,1.333333333
4,2.892857143,1.8125,3.9,2.15,2.5625,3.75,1.375
4.666666667,2.678571429,1.8125,3.65,2.05,2.09375,3.666666667,1.916666667
2.666666667,2.285714286,2.5,3.05,3.15,2.65625,3.166666667,2.666666667
4.5,3.571428571,3.4375,3.65,3.6,3.59375,4,2.541666667
1,1.892857143,1.375,2.1,4.65,1.875,3.25,1.75
5,3.607142857,2.75,4.1,2,2.53125,2.916666667,2.666666667
3.833333333,2.392857143,3.25,3.1,3.4,3.09375,3,1.458333333
2,2.571428571,2,2.2,2,1.90625,3.166666667,2.916666667
5,4.964285714,5,4.95,4.85,4.875,4.916666667,4.916666667
2.833333333,3.142857143,3.3125,3.15,3,2.5625,3.083333333,3.208333333
4.916666667,4.071428571,3.875,4.15,4.3,4.125,4.25,3.833333333
5,3.5,2.3125,5,1,1.8125,3.833333333,4.416666667
5,4.321428571,4.25,4.35,4.6,4.875,3.583333333,3.166666667
3.833333333,1.535714286,2.5625,3.15,2.4,2.25,2.833333333,3.25
3.833333333,3.714285714,3.5,3.85,3.5,3.34375,5,4.375
3.333333333,3.464285714,2.5,3.6,2.35,2.46875,3.083333333,1.458333333
4.416666667,2.607142857,1.375,4.15,2.9,1.4375,4.583333333,1.625
1.833333333,2.607142857,2.5,3.4,2.1,1.65625,4.5,2.375
4.5,3.392857143,3.75,3.5,3.1,2.5,3.833333333,2.541666667
5,5,4.9375,5,5,4.96875,5,5
2.166666667,1.285714286,1,2.6,1.2,1.25,4,1.166666667
1.083333333,2.107142857,3.0625,1.95,1.55,1.25,3.75,2.208333333
4.75,4.071428571,3.3125,3.4,4.3,3.34375,4.666666667,3.125
5,2.607142857,4.1875,4.6,2.95,1.46875,4.416666667,2.166666667
4.083333333,2.571428571,3,3.5,3.5,3.0625,3.333333333,2.583333333
1,2.535714286,3,2.45,2.9,2.9375,2.5,2.666666667
4.333333333,4.392857143,4.25,4.3,4.75,4.59375,4.75,4.791666667
3,3.464285714,3.375,3.1,3.35,3.125,3.25,3.291666667
1,1.321428571,1.5,1.8,1,1.25,1.666666667,1.458333333
3.75,3.964285714,3,4.6,4.15,4.59375,4.583333333,3.5
1,1.5,1.75,1.4,1,1,3.583333333,2.25
3.416666667,3.428571429,1.875,3.55,2.95,3.09375,2.666666667,2.75
